team_id,date,GD,pastgame_GD
8226,2008-10-29 00:00:00,2,2.25
8455,2008-10-29 00:00:00,3,2.25
8456,2008-10-29 00:00:00,-2,0.0
8462,2008-10-29 00:00:00,-1,0.0
8472,2008-10-29 00:00:00,-1,0.0
8524,2008-10-29 00:00:00,-1,0.0
8528,2008-10-29 00:00:00,-2,-2.0
8529,2008-10-29 00:00:00,-1,0.5
8540,2008-10-29 00:00:00,0,-0.75
8543,2008-10-29 00:00:00,1,-0.5
8551,2008-10-29 00:00:00,-1,-0.25
8586,2008-10-29 00:00:00,0,0.0
8600,2008-10-29 00:00:00,2,1.5
8636,2008-10-29 00:00:00,0,1.25
8654,2008-10-29 00:00:00,-2,-1.75
8655,2008-10-29 00:00:00,-1,-0.75
8668,2008-10-29 00:00:00,1,-0.25
8690,2008-10-29 00:00:00,-3,-1.0
9789,2008-10-29 00:00:00,1,0.25
9823,2008-10-29 00:00:00,1,1.0
9885,2008-10-29 00:00:00,1,0.0
9904,2008-10-29 00:00:00,-3,-1.5
10269,2008-10-29 00:00:00,-2,0.5
8177,2008-10-29 00:00:00,3,1.25
8530,2008-10-29 00:00:00,-2,0.0
8533,2008-10-29 00:00:00,-1,-1.25
8535,2008-10-29 00:00:00,0,1.75
8549,2008-10-29 00:00:00,2,-0.5
8559,2008-10-29 00:00:00,-1,-0.25
8564,2008-10-29 00:00:00,1,1.25
8650,2008-10-29 00:00:00,1,1.0
8667,2008-10-29 00:00:00,-3,0.5
8722,2008-10-29 00:00:00,-1,-0.25
9790,2008-10-29 00:00:00,2,0.0
9804,2008-10-29 00:00:00,1,-0.75
9810,2008-10-29 00:00:00,-1,-0.25
9825,2008-10-29 00:00:00,0,1.0
9857,2008-10-29 00:00:00,-1,-0.5
9875,2008-10-29 00:00:00,3,1.0
9879,2008-10-29 00:00:00,2,0.25
9888,2008-10-29 00:00:00,0,-0.5
9911,2008-10-29 00:00:00,-2,-1.0
10194,2008-10-29 00:00:00,1,-0.5
10233,2008-10-29 00:00:00,1,0.75
10252,2008-10-29 00:00:00,1,0.75
10260,2008-10-29 00:00:00,2,2.0
8721,2008-10-31 00:00:00,-2,0.5
8178,2008-10-31 00:00:00,2,2.0
8177,2008-11-01 00:00:00,-4,0.0
8295,2008-11-01 00:00:00,-3,-2.0
8472,2008-11-01 00:00:00,-5,-1.25
8528,2008-11-01 00:00:00,1,-1.5
8634,2008-11-01 00:00:00,3,3.5
8636,2008-11-01 00:00:00,1,1.25
8650,2008-11-01 00:00:00,-1,0.5
8654,2008-11-01 00:00:00,0,-1.25
8655,2008-11-01 00:00:00,0,-0.25
8661,2008-11-01 00:00:00,-2,-1.0
8667,2008-11-01 00:00:00,-1,0.0
8686,2008-11-01 00:00:00,-2,-2.25
8696,2008-11-01 00:00:00,2,0.5
8722,2008-11-01 00:00:00,2,0.0
9790,2008-11-01 00:00:00,-3,-1.0
9825,2008-11-01 00:00:00,-1,0.75
9879,2008-11-01 00:00:00,-1,0.25
9912,2008-11-01 00:00:00,-2,-1.25
10189,2008-11-01 00:00:00,2,1.25
10205,2008-11-01 00:00:00,3,1.0
8226,2008-11-01 00:00:00,3,2.75
8315,2008-11-01 00:00:00,-3,-2.25
8398,2008-11-01 00:00:00,-2,-1.0
8455,2008-11-01 00:00:00,5,3.0
8462,2008-11-01 00:00:00,-1,-0.5
8549,2008-11-01 00:00:00,0,-0.75
8586,2008-11-01 00:00:00,1,0.5
8659,2008-11-01 00:00:00,0,-2.0
8668,2008-11-01 00:00:00,1,0.0
8690,2008-11-01 00:00:00,-1,-1.25
8697,2008-11-01 00:00:00,4,0.5
9823,2008-11-01 00:00:00,2,1.5
9864,2008-11-01 00:00:00,-3,0.75
9885,2008-11-01 00:00:00,2,0.75
9904,2008-11-01 00:00:00,3,-0.75
9906,2008-11-01 00:00:00,2,-1.0
10194,2008-11-01 00:00:00,1,0.0
10260,2008-11-01 00:00:00,1,1.75
10267,2008-11-01 00:00:00,-2,0.75
10269,2008-11-01 00:00:00,-2,-0.75
8302,2008-11-02 00:00:00,-1,0.75
8305,2008-11-02 00:00:00,0,0.0
8371,2008-11-02 00:00:00,-1,-1.25
8388,2008-11-02 00:00:00,-2,-1.5
8456,2008-11-02 00:00:00,-2,-0.25
8530,2008-11-02 00:00:00,-1,-0.25
8533,2008-11-02 00:00:00,-3,-1.5
8535,2008-11-02 00:00:00,-1,1.0
8633,2008-11-02 00:00:00,0,0.5
9783,2008-11-02 00:00:00,3,0.25
9804,2008-11-02 00:00:00,-1,-0.5
9810,2008-11-02 00:00:00,1,0.5
9857,2008-11-02 00:00:00,-4,-1.25
9875,2008-11-02 00:00:00,-1,1.0
9888,2008-11-02 00:00:00,0,-0.5
9911,2008-11-02 00:00:00,0,-1.0
10233,2008-11-02 00:00:00,0,0.5
8479,2008-11-02 00:00:00,0,-1.0
8524,2008-11-02 00:00:00,0,-0.5
